,Advertiser_ID,Advertiser_Name,Date_Range_Start,Date_Range_End,Num_of_Days,Impressions,Spend_USD
9613,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2020-02-07,2020-02-11,5,10k-100k,100-1k
9615,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-08-28,2018-08-28,1,≤ 10k,100-1k
9616,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-08,2019-07-11,4,≤ 10k,≤ 100
9617,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-15,2019-05-17,3,10k-100k,≤ 100
9619,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-08,2019-03-11,4,≤ 10k,≤ 100
9620,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-12-18,2020-01-06,12,10k-100k,1k-50k
9622,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-02-25,2019-03-08,11,≤ 10k,≤ 100
9625,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-02-25,2019-03-08,9,≤ 10k,≤ 100
9626,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2020-02-04,2020-02-04,1,≤ 10k,≤ 100
9628,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-06-18,2019-06-20,3,100k-1M,100-1k
9629,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-20,2019-06-10,19,≤ 10k,100-1k
9634,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2020-01-13,2020-01-23,10,≤ 10k,≤ 100
9636,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-12,2019-07-18,7,≤ 10k,≤ 100
9637,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-12,2019-03-15,4,10k-100k,≤ 100
9638,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-02-25,2019-03-08,11,10k-100k,≤ 100
9641,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2020-02-07,2020-02-11,5,≤ 10k,≤ 100
9645,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2020-01-28,2020-01-29,2,≤ 10k,≤ 100
9648,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-12,2019-04-11,29,10k-100k,100-1k
9649,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2020-02-10,2020-02-10,1,≤ 10k,≤ 100
9653,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-04,2019-03-13,9,≤ 10k,≤ 100
9656,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2020-01-08,2020-01-19,12,10k-100k,100-1k
9658,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-19,2019-07-29,5,≤ 10k,≤ 100
9659,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-13,2019-03-15,3,100k-1M,100-1k
9664,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-13,2019-07-15,58,≤ 10k,100-1k
9665,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-02-12,2019-03-11,27,≤ 10k,≤ 100
9667,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-06,2019-07-09,46,≤ 10k,≤ 100
9669,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-07,2019-05-09,3,≤ 10k,≤ 100
9671,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-12,2019-03-19,6,≤ 10k,≤ 100
9672,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-16,2019-07-25,2,≤ 10k,≤ 100
9673,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-15,2020-01-06,173,10k-100k,1k-50k
9674,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-30,2019-08-11,11,≤ 10k,100-1k
9677,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2020-01-28,2020-02-03,7,≤ 10k,100-1k
9678,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-10,2019-07-11,61,≤ 10k,100-1k
9680,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-15,2020-02-23,211,10k-100k,1k-50k
9681,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-11,2019-07-19,9,10k-100k,≤ 100
9682,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-02-12,2019-03-08,24,≤ 10k,≤ 100
9684,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-02-19,2019-03-11,20,10k-100k,100-1k
9686,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-04-03,2019-05-06,34,≤ 10k,100-1k
9687,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-06-03,2019-06-11,9,≤ 10k,≤ 100
9689,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-11,2019-04-11,30,≤ 10k,≤ 100
9692,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-10-04,2019-03-14,162,10k-100k,1k-50k
9693,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-06-23,2019-06-25,3,≤ 10k,100-1k
